Found 1962 strings where colon position > 32

AMS_INFO             | ua    | colon at 33 (+ 1) | Поколение ключа             : {}...
AMS_INFO             | ua    | colon at 33 (+ 1) | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | ua    | colon at 33 (+ 1) | Git commit hash             : {:016X}...
AMS_INFO             | ua    | colon at 33 (+ 1) | Есть исправление RCM бага   : {}...
AMS_INFO             | ua    | colon at 33 (+ 1) | Экзосфера очищает CAL0      : {}...
AMS_INFO             | ua    | colon at 33 (+ 1) | Запись в CAL0 разрешена     : {}...
AMS_INFO             | ua    | colon at 33 (+ 1) | Emummc включён              : {}...
AMS_INFO             | ua    | colon at 33 (+ 1) | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | ua    | colon at 33 (+ 1) | Поддерживаемая версия HOS   : {}...
AMS_INFO             | zhcn  | colon at 33 (+ 1) | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | zhcn  | colon at 33 (+ 1) | Поколение ключа             : {}...
AMS_INFO             | zhcn  | colon at 33 (+ 1) | Целевая прошивка            : {}.{}.{}...
